fbi_code,offense,relate
01A,More serious offenses,Violence
01B,Less serious offenses,
02,More serious offenses,Violence
03,More serious offenses,Violence
04A,More serious offenses,Violence
04B,More serious offenses,Violence
05,More serious offenses,Property
06,More serious offenses,Property
07,More serious offenses,Property
08A,Less serious offenses,
08B,Less serious offenses,
09,More serious offenses,Property
10,Less serious offenses,
11,Less serious offenses,
12,Less serious offenses,
13,Less serious offenses,
14,Less serious offenses,
15,Less serious offenses,
16,Less serious offenses,
17,Less serious offenses,
18,Less serious offenses,
19,Less serious offenses,
20,Less serious offenses,
22,Less serious offenses,
24,Less serious offenses,
26,Less serious offenses,
